name,url
mqAddStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089230_.html
mqBagToBuffer,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089240_.html
mqBufferToBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089250_.html
mqClearBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089260_.html
mqCountItems,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089270_.html
mqCreateBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089280_.html
mqDeleteBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089290_.html
mqDeleteItem,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089300_.html
mqExecute,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089310_.html
mqGetBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089320_.html
mqInquireBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089330_.html
mqInquireByteString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089340_.html
mqInquireByteStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089350_.html
mqInquireInteger,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089360_.html
mqInquireInteger64,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089370_.html
mqInquireIntegerFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089380_.html
mqInquireItemInfo,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089390_.html
mqInquireString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089400_.html
mqInquireStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089410_.html
mqPad,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089420_.html
mqPutBag,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089430_.html
mqSetByteString,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089440_.html
mqSetByteStringFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089450_.html
mqSetInteger,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089460_.html
mqSetInteger64,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089470_.html
mqSetIntegerFilter,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q089480_.html
